id,raw_context,entity
1,﻿平方根是开方运算的基础，是引入无理数的准备知识。,"平方根,无理数,开方"
2,②分数中的分子或分母经过约分后不能出现无理数（如2的平方根），否则就不是分数。,"平方根,无理数,分数,分母,分子,约分"
3,常见的无理数有非完全平方数的平方根、π和e（其中后两者均为超越数）等。,"非完全平方数,平方根,无理数,超越数"
4,平面内与一个定点的距离等于定长的点的集合叫做圆，其中定点是圆心，如图1中的O点，定长是圆的半径。,"集合,半径,平面,圆心,定点,距离,圆"
5,半径和方位角共同称为极坐标，因为它们对应于平面中平行于参考平面的平面中的二维极坐标系。,"二维极坐标系,极坐标,方位角,平行,半径,参考平面,平面"
6,1、在工程中，对角支架是用于支撑矩形结构（例如脚手架）的梁以承受推入其中的强力。,"对角,矩形"
7,虽然被称为对角线，但由于实际考虑，对角线通常不连接到矩形的角部。,"对角线,矩形,角"
8,就是从统计表的横坐标、纵坐标交汇处沿左下角到右上角的对角线发展，延伸至表格外，在这里正比例的意义上它可以向下延伸，所以认为它是直线。,"统计表,横坐标,纵坐标,正比例,对角线,直线"
9,对称轴的条数：角有一条对称轴，即该角的角平分线。,"角平分线,对称轴,角"
10,等腰三角形有一条对称轴，是底边的垂直平分线。,"等腰三角形,垂直平分线,对称轴"
11,等边三角形有三条对称轴，分别是三边上的垂直平分线。,"等边三角形,垂直平分线,对称轴"
12,菱形有两条对称轴，分别是两条对角线所在的直线，矩形有两条对称轴分别是两组对边中点的直线。,"对称轴,对角线,中点,矩形,菱形,对边,直线"
13,正方形的两组对边分别平行，四条边都相等。,"正方形,平行,对边,边"
14,对角线互相垂直、平分且相等，每条对角线都平分一组对角。,"互相垂直,对角线,平分,对角"
15,"正方形的性质定理1:正方形的四个角都是直角,四条边都相等。","正方形,直角"
16,"2:正方形的两条对角线相等,并互相垂直,每条对角线平分一组对角。","互相垂直,正方形,对角线,平分,对角"
17,矩形的性质定理1:矩形的四个角都是直角。,"直角,角,矩形"
18,2:矩形的两条对角线相等。,"对角线,矩形"
19,分析：要证的EG，FH为四边形EFGH的对角线，因此只需证明四边形EFGH为矩形，可选用“三个角是直角的四边形是矩形”来证明。,"四边形,对角线,直角,矩形,角"
20,"正方形的两组对边分别平行,四条边都相等,四个角都是90度,对角线互相垂直、平分且相等,每条对角线都平分一组对角。","互相垂直,正方形,对角线,平行,平分,对角,对边,边"
21,“对角线”一词来源于古希腊语“角”与“角”之间的关系。,"对角线,角"
22,组成多边形的每一条线段叫做多边形的边。,"多边形,线段,边"
23,相邻的两条线段的公共端点叫做多边形的顶点。,"多边形,线段,端点,顶点"
24,多边形相邻两边所组成的角叫做多边形的内角。,"多边形,内角,边,角"
25,连接多边形的两个不相邻顶点的线段叫做多边形的对角线。,"多边形,对角线,线段,顶点"
26,对立事件概率之间的关系：P(A)+P(B)=1。,"对立事件,概率"
27,若A与B是对立事件，则A与B互斥且A+B为必然事件，故A+B发生的概率为1，即P(A+B)=P(A)+P(B)=1。,"必然事件,对立事件,概率,互斥"
28,将较复杂事件表示为若干两两互斥事件的和，利用概率加法公式计算互斥事件和的概率，或当一事件的对立事件的概率易求时，将该事件概率的计算转化为对立事件的概率，简化计算。,"两两互斥事件,加法公式,对立事件,互斥事件,事件,概率"
29,由两个命题可推出一系列重要事实，如奇数条边的封闭折线至少有一条单折边、多边形为凸的充要条件是无双折边，等，且一眼可看出很多折线的规律性。,"充要条件,多边形,奇数,命题"
30,质因数（素因数或质因子）在数论里是指能整除给定正整数的质数。,"正整数,质因子,质因数,因数,质数,素因数"
31,切线的判定方法：经过半径外端并且垂直于这条半径的直线是圆的切线。,"垂直于,半径,切线,直线"
32,当Q趋于P时，割线PQ的极限位置，称为曲线在P点的切线，P称为切点，此时直线与曲线相切于P点。,"割线,切点,相切,曲线,切线,直线"
33,垂直于过切点的半径。,"垂直于,半径,切点"
34,经过半径的外端点，并且垂直于这条半径的直线，是这个圆的切线。,"垂直于,端点,半径,切线,圆,直线"
35,这时利用导数公式可求出切线斜率k，利用点斜式可以表示此直线方程。,"直线方程,点斜式,导数,切线,斜率"
36,平面几何中，将和圆只有一个公共交点的直线叫做圆的切线。,"平面几何,切线,公共交点,直线,圆"
37,"在圆（x2+y2=r2）外一点M（a0，b0）引该圆的两条切线，且两切点为A,B，则A,B两点所在直线的方程也为a0*x+b0*y=r^2。","方程,切点,切线,直线,圆"
38,P和Q是曲线C上邻近的两点，P是定点，当Q点沿着曲线C无限地接近P点时，割线PQ的极限位置PT叫做曲线C在点P的切线，P点叫做切点。,"割线,切点,曲线,切线,定点"
39,经过切点P并且垂直于切线PT的直线PN叫做曲线C在点P的法线（无限逼近的思想）。,"垂直于,法线,切点,曲线,切线,直线"
40,几何上，切线指的是一条刚好触碰到曲线上某一点的直线。,"几何,曲线,切线,直线"
41,表示一条直线(或曲线的切线)关于(横)坐标轴倾斜程度的量。,"(横)坐标,曲线,切线,直线"
