,0
0,抽样
1,正态
2,统计
3,排列
4,并集
5,方差
6,交集
7,误差
8,样本
9,平均
10,频数
11,众数
12,期望
13,周期
14,插值
15,近似
16,偏差
17,相似
18,概率
19,事件
20,总体
21,频率
22,统计图
23,中均差
24,平方差
25,百分率
26,众数组
27,质因素
28,被除数
29,折线图
30,相容的
31,反比例
32,估计量
33,正庇曲
34,点估计
35,统计学
36,角度制
37,增益率
38,散点图
39,总概率
40,同分母
41,最大数
42,准确度
43,维恩图
44,置信度
45,期望值
46,基本事件
47,统计数据
48,实验数据
49,误差估计
50,三角形式
51,假设检验
52,合成概率
53,常态分布
54,区域估计
55,相容条件
56,互斥事件
57,凸多面体
58,概率分布
59,频率分布
60,泊松分布
61,经验概率
62,偏斜分布
63,样本方差
64,统计分析
65,事后概率
66,先验概率
67,随机试验
68,检验标准
69,补充方程
70,等概率的
71,双峰分布
72,置信区间
73,独立方程
74,置信极限
75,正态分布
76,抽样分布
77,统计图表
78,尺寸注法
79,存在公理
80,互补概率
81,频数分布
82,独立事件
83,有序n元
84,理论概率
85,后验概率
86,条件概率
87,置信水平
88,几何分布
89,矩形分布
90,相似系数
91,区间估计
92,标准误差
93,事先概率
94,互相独立
95,随机变量
96,检验数位
97,高斯分布
98,样本空间
99,大数定理
100,固有误差
101,相对频数
102,概率密度
103,相关系数
104,双尾检验
105,随机样本
106,百分误差
107,实验概率
108,标准偏离
109,置信系数
110,间断数据
111,古典概率论
112,样本分布表
113,折线统计图
114,样本标准差
115,显著性检验
116,概率公理论
117,统计显著性
118,伯努利试验
119,有效估计量
120,伯努利分布
121,显著性水平
122,不分组数据
123,条形统计图
124,频数分布表
125,贝叶斯定理
126,等概率空间
127,超几何分布
128,描述统计学
129,概率母函数
130,下四分位数
131,误差宽容度
132,纳皮尔对数
133,不可能事件
134,累积频数分布
135,标准常态分布
136,两两互斥事件
137,连续随机变量
138,累积分布函数
139,有限概率空间
140,第一四分位数
141,派生统计资料
142,中心极限定理
143,四分位数间距
144,第二四分位数
145,狄利克来函数
146,概率乘法定律
147,标准正态分布
148,间断随机变数
149,概率密度函数
150,离散均匀分布
151,频数分布直线图
152,累积频率直方图
153,闵可夫斯基不等式
