id,entity1,entity2,relation_id,note
2,平方根,无理数,2,NULL
3,平方根,开方,2,NULL
4,无理数,开方,12,NULL
5,平方根,分数,12,NULL
6,平方根,分母,12,NULL
7,平方根,分子,12,NULL
8,平方根,约分,12,NULL
9,无理数,分数,1,NULL
10,无理数,分母,12,NULL
11,无理数,分子,12,NULL
12,无理数,约分,12,NULL
13,分数,分母,4,NULL
14,分数,分子,4,NULL
15,分数,约分,2,NULL
16,分母,分子,10,NULL
17,分母,约分,2,NULL
18,分子,约分,2,NULL
19,非完全平方数,平方根,12,NULL
20,非完全平方数,无理数,12,NULL
21,非完全平方数,超越数,12,NULL
22,平方根,超越数,12,NULL
23,无理数,超越数,4,NULL
24,集合,半径,12,NULL
25,集合,平面,12,NULL
26,集合,圆心,12,NULL
27,集合,定点,12,NULL
28,集合,距离,12,NULL
29,集合,圆,12,NULL
30,半径,平面,12,NULL
31,半径,圆心,10,NULL
32,半径,定点,12,NULL
33,半径,距离,9,NULL
34,半径,圆,3,NULL
35,平面,圆心,2,NULL
36,平面,定点,12,NULL
37,平面,距离,9,NULL
38,平面,圆,2,NULL
39,圆心,定点,3,NULL
40,圆心,距离,8,NULL
41,圆心,圆,3,NULL
42,定点,距离,8,NULL
43,定点,圆,12,NULL
44,距离,圆,8,NULL
45,二维极坐标系,极坐标,3,NULL
46,二维极坐标系,方位角,9,NULL
47,二维极坐标系,平行,12,NULL
48,二维极坐标系,半径,9,NULL
49,二维极坐标系,参考平面,1,NULL
50,二维极坐标系,平面,1,NULL
51,极坐标,方位角,9,NULL
52,极坐标,平行,12,NULL
53,极坐标,半径,9,NULL
54,极坐标,参考平面,1,NULL
55,极坐标,平面,1,NULL
56,方位角,平行,12,NULL
57,方位角,半径,12,NULL
58,方位角,参考平面,1,NULL
59,方位角,平面,1,NULL
60,平行,半径,12,NULL
61,平行,参考平面,8,NULL
62,平行,平面,8,NULL
63,半径,参考平面,12,NULL
64,参考平面,平面,3,NULL
65,对角,矩形,8,NULL
66,对角线,矩形,8,NULL
67,对角线,角,1,NULL
68,矩形,角,9,NULL
69,统计表,横坐标,4,NULL
70,统计表,纵坐标,4,NULL
71,统计表,正比例,12,NULL
72,统计表,对角线,12,NULL
73,统计表,直线,12,NULL
74,横坐标,纵坐标,10,NULL
75,横坐标,正比例,12,NULL
76,横坐标,对角线,12,NULL
77,横坐标,直线,12,NULL
78,纵坐标,正比例,12,NULL
79,纵坐标,对角线,12,NULL
80,纵坐标,直线,12,NULL
81,正比例,对角线,12,NULL
82,正比例,直线,12,NULL
83,对角线,直线,3,NULL
84,角平分线,对称轴,3,NULL
85,角平分线,角,1,NULL
86,对称轴,角,12,NULL
87,等腰三角形,垂直平分线,9,NULL
88,等腰三角形,对称轴,9,NULL
89,垂直平分线,对称轴,3,NULL
90,等边三角形,垂直平分线,9,NULL
91,等边三角形,对称轴,9,NULL
92,对称轴,对角线,12,NULL
93,对称轴,中点,12,NULL
94,对称轴,矩形,8,NULL
95,对称轴,菱形,8,NULL
96,对称轴,对边,12,NULL
