id,name,kind,state
1,醋酸可的松注射液,5,0
2,黄瓜猪肉水饺,7,0
3,紫菜鸡蛋莲草汤,7,0
4,盐酸吗啉胍片,5,0
5,鹅肉,6,0
6,鸭肝,6,0
7,华润紫竹达那唑胶囊(达那唑胶囊),13,0
8,焦作福瑞堂血尿胶囊(血尿胶囊),13,0
9,广东国医堂安胎丸(安胎丸),13,0
10,鲁南小儿消积止咳口服液(小儿消积止咳口服液),13,0
11,沈阳津昌利巴韦林颗粒(利巴韦林颗粒),13,0
12,天津太平洋氨咖甘片(氨咖甘片),13,0
13,辽宁泰兴硬脂酸红霉素片(硬脂酸红霉素片),13,0
14,达那唑胶囊,12,0
15,涂片,3,0
16,核酸检测,3,0
17,尿路平片,3,0
18,康复治疗,11,0
19,玉米冬瓜粥,7,0
20,恒健制药维生素B1片(维生素B1片),13,0
21,玫满(盐酸米诺环素胶囊),13,0
22,蒸肝鸡蛋羹,7,0
23,长春长红盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),13,0
24,哈药总厂托西酸舒他西林胶囊(托西酸舒他西林胶囊),13,0
25,杭州民生药业螺内酯片(螺内酯片),13,0
26,补肾斑龙片,2,0
27,拌马兰头,7,0
28,小儿急性支气管炎,1,0
29,外阴部妇科常规检查,3,0
30,肺水肿,9,0
31,甲泼尼龙片,2,0
32,制剂中间体,5,0
33,过敏性肺炎,1,0
34,鸡肉,6,0
35,宝庆六味地黄丸(六味地黄丸),13,0
36,珠海联邦阿莫西林胶囊(阿莫西林胶囊),13,0
37,苹果生菜酸奶汁,7,0
38,痰液细菌涂片检查,3,0
39,国发制药养血安神片(养血安神片),13,0
40,颐生堂维生素B1片(维生素B1片),13,0
41,草莓果汁,7,0
42,阿比多尔,12,0
43,依托红霉素片,12,0
44,药敏试验,3,0
45,威利宁(利巴韦林片),13,0
46,C-反应蛋白检验（CRP）,3,0
47,皇象铁力蓝天盐酸环丙沙星片(盐酸环丙沙星片),13,0
48,白山市长白山降脂宁颗粒(降脂宁颗粒),13,0
49,猕猴桃香蕉奶酪汁,7,0
50,心包积液,4,0
51,山西津华晖星盐酸吗啉胍片(盐酸吗啉胍片),13,0
52,尿道刺痒,4,0
53,支气管肺炎,9,0
54,上海现代阿奇霉素干混悬剂(阿奇霉素干混悬剂),13,0
55,番茄洋葱芹菜汁,7,0
56,隋静,4,0
57,心绞痛,4,0
58,猪肉(瘦),6,0
59,尼克美诺氟沙星胶囊(诺氟沙星胶囊),13,0
60,达那唑胶囊,2,0
61,益心酮片,5,0
62,千金保孕丸,12,0
63,凝集实验,3,0
64,辣椒(青、尖),8,0
65,安徽城市药业琥乙红霉素片(琥乙红霉素片),13,0
66,成都一药醋酸可的松片(醋酸可的松片),13,0
67,辛辣食物,8,0
68,妇产科,10,0
69,广西灵峰蛇胆川贝液(蛇胆川贝液),13,0
70,鸡肉鱼片枸杞豆腐汤,7,0
71,栗子（熟）,8,0
72,化毒丹,5,0
73,养血安神片,5,0
74,乐其中益肾灵颗粒(益肾灵颗粒),13,0
75,兰花药业诺氟沙星胶囊(诺氟沙星胶囊),13,0
76,南光注射用甲泼尼龙琥珀酸钠(注射用甲泼尼龙琥珀酸钠),13,0
77,仁和堂利巴韦林含片(利巴韦林含片),13,0
78,豆腐,6,0
79,鸭肉,6,0
80,对乙酰氨基酚栓,12,0
81,甲硝唑片,5,0
82,"抗神经元核抗体(Hu,Ri)",3,0
83,明水药业头孢氨苄甲氧苄啶片(头孢氨苄甲氧苄啶片),13,0
84,依科制药维生素B1片(维生素B1片),13,0
85,上海通用药业肝素钠维E乳膏(肝素钠维E乳膏),13,0
86,氧疗,11,0
87,太阳岛药业麝香壮骨膏(麝香壮骨膏),13,0
88,对症治疗,11,0
89,成都锦华土霉素片(土霉素片),13,0
90,胡萝卜苦瓜汁,7,0
91,通宣理肺丸,5,0
92,阿比多尔,2,0
93,赤小豆,8,0
94,依托红霉素片,2,0
95,子宫内膜炎,9,0
96,泛发性红色斑块,4,0
97,咯血,4,0
98,衣原体检查法,3,0
99,大株红景天胶囊,5,0
100,长春高新制药克拉霉素胶囊(克拉霉素胶囊),13,0
101,神经系统检查,3,0
102,菠菜虾米汤,7,0
103,黑龙江葵花药业小儿肺热咳喘(小儿肺热咳喘口服液),13,0
104,地塞米松,12,0
105,心包炎,4,0
106,颅脑CT检查,3,0
107,高血压,9,0
108,罗红霉素胶囊,5,0
