id,entity1,entity2,relation_id,note
1,喘息样支气管炎,耸肩喘息,1,NULL
2,喘息样支气管炎,哮鸣音,1,NULL
3,喘息样支气管炎,纤毛上皮细胞损伤脱落,1,NULL
4,喘息样支气管炎,变应性咳嗽,1,NULL
5,喘息样支气管炎,化学性支气管炎,1,NULL
6,喘息样支气管炎,喘息,1,NULL
7,喘息样支气管炎,冬春季的慢性咳...,1,NULL
8,喘息样支气管炎,咳嗽伴哮鸣音,1,NULL
9,喘息样支气管炎,布地奈德气雾剂,2,NULL
10,喘息样支气管炎,喷托维林氯化铵糖浆,2,NULL
11,喘息样支气管炎,肺部检查,3,NULL
12,喘息样支气管炎,肺和胸膜听诊,3,NULL
13,喘息样支气管炎,抗链球菌型M蛋白抗体,3,NULL
14,喘息样支气管炎,抗链球菌壁多糖抗体,3,NULL
15,喘息样支气管炎,酶联免疫吸附试验,3,NULL
16,喘息样支气管炎,枸橼酸喷托维林片,4,NULL
17,喘息样支气管炎,氨茶碱片,4,NULL
18,喘息样支气管炎,二羟丙茶碱片,4,NULL
19,喘息样支气管炎,胸腺肽肠溶片,4,NULL
20,喘息样支气管炎,硫酸沙丁胺醇气雾剂,4,NULL
21,喘息样支气管炎,小青龙合剂,4,NULL
22,喘息样支气管炎,硫酸沙丁胺醇片,4,NULL
23,喘息样支气管炎,蛇胆川贝液,4,NULL
24,喘息样支气管炎,小青龙颗粒,4,NULL
25,喘息样支气管炎,布地奈德气雾剂,4,NULL
26,喘息样支气管炎,喷托维林氯化铵糖浆,4,NULL
27,喘息样支气管炎,鸡蛋,5,NULL
28,喘息样支气管炎,海蚌,5,NULL
29,喘息样支气管炎,赤贝,5,NULL
30,喘息样支气管炎,圆白菜,5,NULL
31,喘息样支气管炎,紫苏粥,6,NULL
32,喘息样支气管炎,菊花芦根茶,6,NULL
33,喘息样支气管炎,生芦根粥,6,NULL
34,喘息样支气管炎,鲜芦根粥,6,NULL
35,喘息样支气管炎,薏仁党参粥,6,NULL
36,喘息样支气管炎,党参粥,6,NULL
37,喘息样支气管炎,黄芪粥,6,NULL
38,喘息样支气管炎,鸡蛋木耳粥,6,NULL
39,喘息样支气管炎,海蟹,7,NULL
40,喘息样支气管炎,海虾,7,NULL
41,喘息样支气管炎,海螺,7,NULL
42,喘息样支气管炎,猪肉(肥瘦),7,NULL
43,喘息样支气管炎,支气管哮喘,8,NULL
44,喘息样支气管炎,内科,9,NULL
45,喘息样支气管炎,呼吸内科,9,NULL
46,喘息样支气管炎,药物治疗,10,NULL
47,喘息样支气管炎,支持性治疗,10,NULL
48,枸橼酸喷托维林片,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
49,枸橼酸喷托维林片,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
50,氨茶碱片,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
51,氨茶碱片,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
52,二羟丙茶碱片,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
53,二羟丙茶碱片,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
54,胸腺肽肠溶片,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
55,胸腺肽肠溶片,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
56,硫酸沙丁胺醇气雾剂,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
57,硫酸沙丁胺醇气雾剂,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
58,小青龙合剂,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
59,小青龙合剂,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
60,硫酸沙丁胺醇片,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
61,硫酸沙丁胺醇片,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
62,蛇胆川贝液,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
63,蛇胆川贝液,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
64,小青龙颗粒,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
65,小青龙颗粒,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
66,布地奈德气雾剂,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
67,布地奈德气雾剂,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
68,喷托维林氯化铵糖浆,桑海制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
69,喷托维林氯化铵糖浆,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),2,NULL
70,肺炎,呼气时两颊鼓起和缩唇,1,NULL
71,肺炎,咳泡沫黏液痰,1,NULL
72,肺炎,呼吸困难,1,NULL
73,肺炎,咳嗽伴胸痛,1,NULL
74,肺炎,咳痰,1,NULL
75,肺炎,咳嗽,1,NULL
76,肺炎,持续性发热,1,NULL
77,肺炎,咳铁锈色痰,1,NULL
78,肺炎,发热伴寒战,1,NULL
79,肺炎,恶性胸水,1,NULL
80,肺炎,阿奇霉素片,2,NULL
81,肺炎,头孢克洛颗粒,2,NULL
82,肺炎,痰液病原体检查,3,NULL
83,肺炎,尿常规,3,NULL
84,肺炎,痰液常规检查,3,NULL
85,肺炎,痰液细菌培养,3,NULL
86,肺炎,胸部平片,3,NULL
87,肺炎,胸部MRI,3,NULL
88,肺炎,纤维支气管镜检查,3,NULL
89,肺炎,胸部CT检查,3,NULL
90,肺炎,嗜中性杆状粒细胞数,3,NULL
91,肺炎,血常规,3,NULL
92,肺炎,氨苄西林胶囊,4,NULL
93,肺炎,罗红霉素胶囊,4,NULL
94,肺炎,头孢拉定胶囊,4,NULL
95,肺炎,阿莫西林颗粒,4,NULL
96,肺炎,头孢克洛颗粒,4,NULL
97,肺炎,盐酸左氧氟沙星胶囊,4,NULL
98,肺炎,头孢氨苄胶囊,4,NULL
99,肺炎,桔贝合剂,4,NULL
100,肺炎,依托红霉素片,4,NULL
101,肺炎,乙酰螺旋霉素片,4,NULL
102,肺炎,麦迪霉素片,4,NULL
103,肺炎,头孢克肟颗粒,4,NULL
104,肺炎,司帕沙星分散片,4,NULL
105,肺炎,头孢丙烯分散片,4,NULL
106,肺炎,注射用头孢唑林钠,4,NULL
107,肺炎,阿奇霉素片,4,NULL
108,肺炎,加替沙星片,4,NULL
109,肺炎,乳酸左氧氟沙星片,4,NULL
110,肺炎,鸭肉,5,NULL
111,肺炎,鸡心,5,NULL
112,肺炎,腰果,5,NULL
113,肺炎,松子仁,5,NULL
114,肺炎,豌豆绿豆粥,6,NULL
115,肺炎,酱泥鳅,6,NULL
116,肺炎,赤小豆粥,6,NULL
117,肺炎,酱兔肉,6,NULL
118,肺炎,柏子仁鸡心,6,NULL
119,肺炎,银耳瘦肉羹,6,NULL
120,肺炎,西葫芦饺,6,NULL
121,肺炎,蚕豆粥,6,NULL
122,肺炎,杏仁,7,NULL
123,肺炎,腐竹,7,NULL
124,肺炎,白扁豆,7,NULL
125,肺炎,猪油（板油）,7,NULL
126,肺炎,支气管肺炎,8,NULL
127,肺炎,内科,9,NULL
128,肺炎,呼吸内科,9,NULL
129,肺炎,药物治疗,10,NULL
130,肺炎,支持性治疗,10,NULL
131,氨苄西林胶囊,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
132,罗红霉素胶囊,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
133,头孢拉定胶囊,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
134,阿莫西林颗粒,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
135,头孢克洛颗粒,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
136,盐酸左氧氟沙星胶囊,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
137,头孢氨苄胶囊,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
138,桔贝合剂,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
139,依托红霉素片,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
140,乙酰螺旋霉素片,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
141,麦迪霉素片,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
142,头孢克肟颗粒,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
143,司帕沙星分散片,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
144,头孢丙烯分散片,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
145,注射用头孢唑林钠,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
146,阿奇霉素片,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
147,加替沙星片,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
148,乳酸左氧氟沙星片,佳乐弗乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
149,非典,畏寒,1,NULL
150,非典,持续性发热,1,NULL
151,非典,呼吸困难,1,NULL
152,非典,乏力,1,NULL
153,非典,盐酸金刚烷胺糖浆,2,NULL
154,非典,白细胞分类计数,3,NULL
155,非典,胸部平片,3,NULL
156,非典,肺炎支原体寒冷凝集试验,3,NULL
157,非典,胸部CT检查,3,NULL
158,非典,补体结合试验,3,NULL
159,非典,盐酸金刚烷胺糖浆,4,NULL
160,非典,鹿肉,5,NULL
161,非典,鸡肝,5,NULL
162,非典,杏仁,5,NULL
163,非典,松子仁,5,NULL
164,非典,奶汤锅子鱼,6,NULL
165,非典,五丝白菜卷,6,NULL
166,非典,玉竹白菜,6,NULL
167,非典,冬菇烧白菜,6,NULL
168,非典,板栗烧白菜,6,NULL
169,非典,白菜姜葱汤,6,NULL
170,非典,芥末拌白菜,6,NULL
171,非典,椒盐白菜,6,NULL
172,非典,海蟹,7,NULL
173,非典,海虾,7,NULL
174,非典,狗肉,7,NULL
175,非典,鱼腥草,7,NULL
176,非典,败血症,8,NULL
177,非典,消化道出血,8,NULL
178,非典,弥散性血管内凝血,8,NULL
179,非典,内科,9,NULL
180,非典,呼吸内科,9,NULL
181,非典,药物治疗,10,NULL
182,非典,支持性治疗,10,NULL
183,盐酸金刚烷胺糖浆,锦州本天盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),2,NULL
184,盐酸金刚烷胺糖浆,沈阳康芝盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),2,NULL
185,盐酸金刚烷胺糖浆,四川通园盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),2,NULL
186,盐酸金刚烷胺糖浆,石药集团盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),2,NULL
187,盐酸金刚烷胺糖浆,长春长红盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),2,NULL
188,盐酸金刚烷胺糖浆,浙江康恩贝盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),2,NULL
189,盐酸金刚烷胺糖浆,四川迪康科技盐酸金刚烷胺糖(盐酸金刚烷胺糖浆),2,NULL
190,盐酸金刚烷胺糖浆,福州海王金象中药盐酸金刚烷(盐酸金刚烷胺糖浆),2,NULL
191,盐酸金刚烷胺糖浆,甘肃成纪生物盐酸金刚烷胺糖(盐酸金刚烷胺糖浆),2,NULL
192,盐酸金刚烷胺糖浆,江苏亚邦生缘盐酸金刚烷胺糖(盐酸金刚烷胺糖浆),2,NULL
193,盐酸金刚烷胺糖浆,福建南少林盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),2,NULL
194,盐酸金刚烷胺糖浆,河南同源盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),2,NULL
195,盐酸金刚烷胺糖浆,辽源誉隆亚东盐酸金刚烷胺糖(盐酸金刚烷胺糖浆),2,NULL
196,卡氏肺囊虫肺炎,紫绀,1,NULL
197,卡氏肺囊虫肺炎,呼吸困难,1,NULL
198,卡氏肺囊虫肺炎,腹泻,1,NULL
